uniprot_A,uniprot_B,Entry_name_A,Entry_name_B,Gene_A,Gene_B,org_A,org_B,interaction_type,V1,V2
Q77M19,Q9Y2S6,q77m19_measw,tma7_human,P,TMA7,measw,human,association;,1,0
P0CK56,P30530,ul92_ebvb9,ufo_human,ul92_ebvb9,AXL,ebvb9,human,association;,1,0
D0UZU1,Q8TBX8,d0uzu1_hhv8,pi42c_human,ORF73,PIP4K2C,hhv8,human,association;,1,0
P03428,O95071,pb2_i34a1,ubr5_human,PB2,UBR5,i34a1,human,association;,4,1
A0A142I5B9,Q8TCT9,A0A142I5B9,hm13_human,A0A142I5B9,HM13,ZIKVK,human,association;,1,0
Q194T2,Q6V0I7,q194t2_9infa,fat4_human,NS1,FAT4,influenza a virus (a/wsn/1933(h1n1)),human,association;,2,0
Q2MG95,P28300,q2mg95_ebvb9,lyox_human,BVLF1,LOX,ebvb9,human,association;,1,0
P14079,Q9UJX2,tax_htl1c,cdc23_human,tax,CDC23,htl1c,human,physical association;,2,0
Q9J0X9,O75369,q9j0x9_hhv1,flnb_human,UL54,FLNB,hhv1,human,association;,1,0
P21673,P12504,sat1_human,vif_hv1n5,SAT1,vif,human,hv1n5,physical association;,1,0
Q99IB8,Q5GH72,Q99IB8,xkr7_human,Q99IB8,XKR7,hcvjf,human,association;,1,1
O75521,P29991,eci2_human,P29991,ECI2,P29991,human,den27,physical association;,1,0
P69901,O60565,P69901,grem1_human,P69901,GREM1,hpv11,human,association;,1,0
D1LN35,O14654,d1ln35_9infa,irs4_human,NS1,IRS4,h5n1-china,human,association;,1,0
O56264,P23396,ns1_i97a1,rs3_human,NS,RPS3,i97a1,human,association;,1,0
P12520,Q13098,vpr_hv1n5,csn1_human,vpr,GPS1,hv1n5,human,association;,1,0
C5E526,O43823,c5e526_9infa,akap8_human,PB1,AKAP8,A/New York/1682/2009(H1N1),human,association;,3,0
P0C6X7,P54274,p0c6x7-pro_0000037315,terf1_human,rep,TERF1,sars-cov,human,physical association;,2,0
P03182,P40616,ear_ebvb9,arl1_human,ear_ebvb9,ARL1,ebvb9,human,association;,1,0
P06821,P38606,m2_i34a1,vata_human,M,ATP6V1A,i34a1,human,association;,1,0
P03182,Q9NX63,ear_ebvb9,mic19_human,ear_ebvb9,CHCHD3,ebvb9,human,association;,1,0
P09613,Q92973,gp_uuks,tnpo1_human,GP,TNPO1,Uuk,human,association;,1,0
Q77M19,P35232,q77m19_measw,phb_human,P,PHB,measw,human,association;,2,0
P0C045,P15907,f_hcvh,siat1_human,p17,ST6GAL1,hcvh,human,physical association;,1,0
P0DTC3,P53007,ap3a_sars2,txtp_human,Protein X1,SLC25A1,SARS-CoV-2,human,association;,1,0
P03427,C9J4M6,pb2_i33a0,c9j4m6_human,PB2,POLR2B,i33a0,human,association;,1,0
P06927,Q9HDC9,ve5_hpv16,apmap_human,E5,APMAP,hpv16,human,association;,1,0
P0DTD1,P34932,p0dtd1-pro_0000449620,hsp74_human,rep,HSPA4,SARS-CoV-2,human,association;,1,0
P27958,P08493,P27958,mgp_human,P27958,MGP,hcvh,human,physical association;,1,0
P06461,P30519,P06461,hmox2_human,P06461,HMOX2,hpv6b,human,association;,1,0
P0DTD1,P09012,p0dtd1-pro_0000449622,snrpa_human,rep,SNRPA,SARS-CoV-2,human,association;,1,0
Q77M19,Q9Y230,q77m19_measw,ruvb2_human,P,RUVBL2,measw,human,association;,2,0
P06927,Q5VV42,ve5_hpv16,cdkal_human,E5,CDKAL1,hpv16,human,association;,1,0
Q92997,P0DOF4,dvl3_human,m1_i72a2,DVL3,M,human,i72a2,physical association;,1,0
P06731,K0BRG7,ceam5_human,k0brg7_9betc,CEACAM5,S,human,human betacoronavirus 2c emc/2012,physical association;,3,0
P0CK49,Q9GZT4,teg7_ebvb9,srr_human,teg7_ebvb9,SRR,ebvb9,human,association;,1,0
P06464,Q96CW1,ve7_hpv6b,ap2m1_human,E7,AP2M1,hpv6b,human,association;,1,0
P04494,P02751,e3gl_ade05,finc_human,GP19K,FN1,ade05,human,association;,1,1
B4URF7,O15067,b4urf7_i33a0,pur4_human,PB2,PFAS,i33a0,human,association;,1,0
Q8NF91,Q9WMX2,syne1_human,Q9WMX2,SYNE1,Q9WMX2,human,hcvco,physical association;,1,0
P06460,Q16891,P06460,mic60_human,P06460,IMMT,hpv6b,human,association;,1,1
P0DTD1,Q9Y399,p0dtd1-pro_0000449626,rt02_human,rep,MRPS2,SARS-CoV-2,human,association;,1,0
P03466,Q9NYK5,ncap_i34a1,rm39_human,NP,MRPL39,i34a1,human,association;,3,0
Q1K9H2,Q12904,q1k9h2_i33a0,aimp1_human,NP,AIMP1,i33a0,human,association;,1,0
Q67296,O75410,pb2_i72a2,tacc1_human,PB2,TACC1,i72a2,human,physical association;,1,0
P56524,Q8AZK7,hdac4_human,ebna5_ebvb9,HDAC4,EBNA-LP,human,ebvb9,association;,2,0
Q77M19,P52630,q77m19_measw,stat2_human,P,STAT2,measw,human,association;,3,0
P25788,Q3KSU7,psa3_human,itp_ebvg,PSMA3,itp_ebvg,human,ebvg,physical association;,1,0
P06460,Q15629,P06460,tram1_human,P06460,TRAM1,hpv6b,human,association;,1,1
P04578,P28072,p04578-pro_0000038427,psb6_human,env,PSMB6,hv1h2,human,association;,3,1
Q77M19,Q9BVA1,q77m19_measw,tbb2b_human,P,TUBB2B,measw,human,association;,2,0
Q77M19,P35268,q77m19_measw,rl22_human,P,RPL22,measw,human,association;,1,0
Q1K9H5,Q8WWC4,q1k9h5_i33a0,maip1_human,PB1,MAIP1,i33a0,human,association;,1,0
Q9WMX2,Q9ULW6,Q9WMX2,np1l2_human,Q9WMX2,NAP1L2,hcvco,human,physical association;,2,3
P06461,Q8N4L2,P06461,pp4p2_human,P06461,PIP4P2,hpv6b,human,association;,1,1
Q2PRM9,Q99615,Q2PRM9,dnjc7_human,Q2PRM9,DNAJC7,povbk,human,association;,1,0
Q99IB8,Q9NY93,Q99IB8,ddx56_human,Q99IB8,DDX56,hcvjf,human,association;,1,0
P03246,P59768,e1bs_ade05,gbg2_human,e1bs_ade05,GNG2,ade05,human,association;,1,1
Q1K9H5,Q9ULT8,q1k9h5_i33a0,hecd1_human,PB1,HECTD1,i33a0,human,association;,3,0
P03428,Q96TA2,pb2_i34a1,ymel1_human,PB2,YME1L1,i34a1,human,association;,1,0
P0DOE9,Q8WVP7,ns1_hrsva,lmbr1_human,1C,LMBR1,hrsva,human,association;,1,0
Q77M19,Q8TCT9,q77m19_measw,hm13_human,P,HM13,measw,human,association;,1,0
P28749,P03255,rbl1_human,e1a_ade05,RBL1,e1a_ade05,human,ade05,physical association;,2,0
P03179,O95071,mtp_ebvb9,ubr5_human,mtp_ebvb9,UBR5,ebvb9,human,association;,1,0
Q77M19,O94776,q77m19_measw,mta2_human,P,MTA2,measw,human,association;,2,0
Q86500,O60224,Q86500,ssx4_human,Q86500,SSX4B,rubvm,human,physical association;,1,0
Q8JPQ9,Q92734,nss_bunl8,tfg_human,N,TFG,bunl8,human,association;,1,0
Q8QXP6,Q96CV9,Q8QXP6,optn_human,Q8QXP6,OPTN,japanese encephalitis virus,human,physical association;,1,0
P03431,P00403,rdrp_i34a1,cox2_human,PB1,MT-CO2,i34a1,human,association;,1,0
D0UZU1,Q96RR1,d0uzu1_hhv8,peo1_human,ORF73,TWNK,hhv8,human,association;,1,0
Q8AZJ3,Q13586,bnl2b_ebvb9,stim1_human,bnl2b_ebvb9,STIM1,ebvb9,human,association;,1,0
P03255,P20226,e1a_ade05,tbp_human,e1a_ade05,TBP,ade05,human,physical association;,1,2
P06921,P04637,ve2_hpv05,p53_human,E2,TP53,hpv05,human,physical association;,1,1
Q05322,P08195,vp24_ebozm,4f2_human,VP24,SLC3A2,ebozm,human,association;,1,0
P06460,Q96QD8,P06460,s38a2_human,P06460,SLC38A2,hpv6b,human,association;,1,1
Q77M19,Q96A26,q77m19_measw,f162a_human,P,FAM162A,measw,human,association;,1,0
Q8N5I3,P03428,kcnrg_human,pb2_i34a1,KCNRG,PB2,human,i34a1,physical association;,1,0
P62937,Q72497,ppia_human,q72497_9hiv1,PPIA,gag,human,9hiv1,direct interaction;,3,0
P0DTD1,Q99460,p0dtd1-pro_0000449626,psmd1_human,rep,PSMD1,SARS-CoV-2,human,association;,1,0
P62913,P69713,rl11_human,x_hbva3,RPL11,X,human,hbv-a,association;,1,0
P36778,O60885,ve2_hpv03,brd4_human,E2,BRD4,hpv03,human,physical association;,1,0
P14079,P19013,tax_htl1c,k2c4_human,tax,KRT4,htl1c,human,physical association;,3,3
P69901,Q9BPW8,P69901,nips1_human,P69901,NIPSNAP1,hpv11,human,association;,1,0
P06460,P05556,P06460,itb1_human,P06460,ITGB1,hpv6b,human,association;,1,0
P03366,Q9H4L5,pol_hv1b1,osbl3_human,gag-pol,OSBPL3,hv1b1,human,association;,4,0
H9XIJ5,P17655,h9xij5_i75a3,can2_human,PB2,CAPN2,i75a3,human,physical association;,1,0
Q194T2,P53007,q194t2_9infa,txtp_human,NS1,SLC25A1,influenza a virus (a/wsn/1933(h1n1)),human,association;,2,0
P03118,P06733,ve2_hpv1,enoa_human,E2,ENO1,hpv1a,human,physical association;,1,0
P0DOE9,Q9NX70,ns1_hrsva,med29_human,1C,MED29,hrsva,human,association;,1,0
P06460,O15173,P06460,pgrc2_human,P06460,PGRMC2,hpv6b,human,association;,1,1
P03182,P30101,ear_ebvb9,pdia3_human,ear_ebvb9,PDIA3,ebvb9,human,association;,1,0
P03120,Q66K74,ve2_hpv16,map1s_human,E2,MAP1S,hpv16,human,physical association;,1,1
P68466,Q96KK5,k7_vaccw,h2a1h_human,k7_vaccw,H2AC12,vaccw,human,association;,1,0
P0C739,Q00341,bnl2a_ebvb9,vigln_human,bnl2a_ebvb9,HDLBP,ebvb9,human,association;,1,0
P04578,Q9Y287,env_hv1h2,itm2b_human,env,ITM2B,hv1h2,human,association;,3,2
P03508,Q9NX40,nep_i34a1,ocad1_human,NS,OCIAD1,i34a1,human,association;,1,0
Q8JPQ9,Q6ZN28,nss_bunl8,macc1_human,N,MACC1,bunl8,human,association;,1,0
P0DTC8,Q5JWF2,P0DTC8,gnas1_human,P0DTC8,GNAS,SARS-CoV-2,human,association;,1,0
P12792,P60660,nss_sfsv,myl6_human,NSS,MYL6,sfsv,human,association;,1,0
P06460,P61803,P06460,dad1_human,P06460,DAD1,hpv6b,human,association;,1,0
P03185,O96006,nec2_ebvb9,zbed1_human,NEC2,ZBED1,ebvb9,human,physical association;,1,0
Q77M19,P49755,q77m19_measw,tmeda_human,P,TMED10,measw,human,association;,2,0
Q9WMX2,Q9UBW7,Q9WMX2,zmym2_human,Q9WMX2,ZMYM2,hcvco,human,physical association;,1,1
P62913,Q1K9H5,rl11_human,q1k9h5_i33a0,RPL11,PB1,human,i33a0,physical association;,1,1
P03431,Q5H9R7,rdrp_i34a1,pp6r3_human,PB1,PPP6R3,i34a1,human,association;,4,1
P03427,O00629,pb2_i33a0,ima3_human,PB2,KPNA4,i33a0,human,association;,1,1
Q194T2,P27986,q194t2_9infa,p85a_human,NS1,PIK3R1,influenza a virus (a/wsn/1933(h1n1)),human,association;,4,0
P0C739,Q5T9L3,bnl2a_ebvb9,wls_human,bnl2a_ebvb9,WLS,ebvb9,human,association;,1,0
P03496,Q02539,ns1_i34a1,h11_human,NS,H1-1,i34a1,human,association;,3,0
Q77M19,P49368,q77m19_measw,tcpg_human,P,CCT3,measw,human,association;,1,0
Q8IWT0,P29991,arch_human,P29991,ZBTB8OS,P29991,human,den27,physical association;,1,0
P06428,O75688,ve6_hpv08,ppm1b_human,E6,PPM1B,hpv08,human,association;,1,1
P06461,P61513,P06461,rl37a_human,P06461,RPL37A,hpv6b,human,association;,1,1
P37198,P10238,nup62_human,icp27_hhv11,NUP62,VMW63,human,hhv11,physical association;,2,0
Q5EP28,P82921,q5ep28_9infa,rt21_human,NP,MRPS21,influenza a virus (a/viet nam/1203/2004(h5n1)),human,association;,1,0
Q8TD31,P03120,cchcr_human,ve2_hpv16,CCHCR1,E2,human,hpv16,physical association;,2,0
P06423,Q14289,ve2_hpv33,fak2_human,E2,PTK2B,hpv33,human,physical association;,1,0
Q8AZK7,P52907,ebna5_ebvb9,caza1_human,EBNA-LP,CAPZA1,ebvb9,human,association;,1,0
P06792,Q9NW15,ve5_hpv18,ano10_human,E5,ANO10,hpv18,human,association;,1,0
P06921,Q9UM11,ve2_hpv05,fzr1_human,E2,FZR1,hpv05,human,physical association;,1,0
P21605,O43390,e3_vaccw,hnrpr_human,p25,HNRNPR,vaccw,human,association;,1,0
Q77M19,O95816,q77m19_measw,bag2_human,P,BAG2,measw,human,association;,2,0
P0DTC5,O75439,vme1_sars2,mppb_human,vme1_sars2,PMPCB,SARS-CoV-2,human,association;,1,0
P46531,Q9WMX2,notc1_human,Q9WMX2,NOTCH1,Q9WMX2,human,hcvco,physical association;,1,0
P05787,P27958,k2c8_human,P27958,KRT8,P27958,human,hcvh,association;,1,0
Q9WMX2,Q92932,Q9WMX2,ptpr2_human,Q9WMX2,PTPRN2,hcvco,human,physical association;,1,2
P0DOE9,Q08AM6,ns1_hrsva,vac14_human,1C,VAC14,hrsva,human,association;,1,0
P36791,O95251,ve2_hpv32,kat7_human,E2,KAT7,hpv32,human,physical association;,1,1
P15059,Q13085,spi2_vaccw,acaca_human,SPI-2,ACACA,vaccw,human,association;,1,0
Q1K9H5,Q8TDD1,q1k9h5_i33a0,ddx54_human,PB1,DDX54,i33a0,human,physical association;,1,0
P03496,P62805,ns1_i34a1,h4_human,NS,H4C9,i34a1,human,association;,1,0
Q91B85,P35579,Q91B85,myh9_human,Q91B85,MYH9,alkhumra hemorrhagic fever virus,human,physical association;,1,1
Q2PJP1,Q5W0U4,q2pjp1_9infa,bspry_human,NS2,BSPRY,h5n1)-1,human,physical association;,1,0
Q77UU1,Q9Y570,q77uu1_9papi,ppme1_human,E2,PPME1,human papillomavirus type 6,human,physical association;,1,0
E7ELX2,A0A087WV22,E7ELX2,a0a087wv22_human,E7ELX2,RPL10,recombinant hepatitis c virus j6/jfh1(ed43-ns5a),human,association;,1,0
P27958,Q9Y2S6,P27958,tma7_human,P27958,TMA7,hcvh,human,association;,1,0
Q8N1B4,P03120,vps52_human,ve2_hpv16,VPS52,E2,human,hpv16,colocalization;,1,0
Q99IB8,P67870,Q99IB8,csk2b_human,Q99IB8,CSNK2B,hcvjf,human,association;,1,0
P03427,Q00013,pb2_i33a0,em55_human,PB2,MPP1,i33a0,human,association;,1,0
P0DTD3,P50402,y14_sars2,emd_human,y14_sars2,EMD,SARS-CoV-2,human,association;,1,0
P03427,P50990,pb2_i33a0,tcpq_human,PB2,CCT8,i33a0,human,association;,1,1
Q7LYY4,P17535,Q7LYY4,jund_human,Q7LYY4,JUND,humt-,human,direct interaction;physical association;colocalization;,4,0
O92972,P62993,O92972,grb2_human,O92972,GRB2,hcvj4,human,physical association;,2,0
P06464,P53621,ve7_hpv6b,copa_human,E7,COPA,hpv6b,human,association;,1,0
P14340,P11413,P14340,g6pd_human,P14340,G6PD,den2n,human,association;,1,0
P69901,P09543,P69901,cn37_human,P69901,CNP,hpv11,human,association;,1,0
C5E526,P08195,c5e526_9infa,4f2_human,PB1,SLC3A2,A/New York/1682/2009(H1N1),human,association;,1,0
P06460,O75110,P06460,atp9a_human,P06460,ATP9A,hpv6b,human,association;,1,0
A0A142I5B9,P46783,A0A142I5B9,rs10_human,A0A142I5B9,RPS10,ZIKVK,human,association;,1,0
P0C739,Q9H6Y7,bnl2a_ebvb9,rn167_human,bnl2a_ebvb9,RNF167,ebvb9,human,association;,1,0
Q77UV9,P27361,q77uv9_hhv8,mk03_human,KIE-2,MAPK3,hhv8,human,association;,1,0
P0DTD1,Q9NY61,p0dtd1-pro_0000449626,aatf_human,rep,AATF,SARS-CoV-2,human,association;,1,0
P12792,Q92841,nss_sfsv,ddx17_human,NSS,DDX17,sfsv,human,association;,1,0
Q69117,Q9Y5V3,q69117_ebvg,magd1_human,BFRF1A,MAGED1,ebvg,human,association;,1,0
P06821,Q6RW13,m2_i34a1,atrap_human,M,AGTRAP,i34a1,human,association;,1,0
Q07820,Q91AU0,mcl1_human,Q91AU0,MCL1,Q91AU0,human,hepatitis c virus subtype 1b,physical association;,1,0
P04578,O15460,p04578-pro_0000038427,p4ha2_human,env,P4HA2,hv1h2,human,association;,1,0
A0A142I5B9,Q9BV73,A0A142I5B9,cp250_human,A0A142I5B9,CEP250,ZIKVK,human,association;,1,0
P19712,Q9Y3D9,P19712,rt23_human,P19712,MRPS23,CSFV,human,association;,1,1
P06792,Q9GZP9,ve5_hpv18,derl2_human,E5,DERL2,hpv18,human,association;,1,0
P15059,Q5VTE0,spi2_vaccw,ef1a3_human,SPI-2,EEF1A1P5,vaccw,human,association;,1,0
Q86T75,P88992,nbpfb_human,p88992_mhv68,NBPF11,BKRF1,human,mhv68,physical association;,1,1
P06426,O43889,ve5_hpv33,creb3_human,E5,CREB3,hpv33,human,physical association;,1,0
Q6QDQ4,O43432,q6qdq4_prrsv,if4g3_human,N,EIF4G3,prrsv,human,association;,1,0
Q99AU3,O60506,ns1_i18a0,hnrpq_human,NS,SYNCRIP,i18a0,human,association;,1,0
P06927,Q96CS3,ve5_hpv16,faf2_human,E5,FAF2,hpv16,human,association;,1,0
Q9WMX2,P62269,Q9WMX2,rs18_human,Q9WMX2,RPS18,hcvco,human,association;,1,0
Q6PF05,P14079,tt23l_human,tax_htl1c,TTC23L,tax,human,htl1c,physical association;,1,0
P04578,P48741,p04578-pro_0000038427,hsp77_human,env,HSPA7,hv1h2,human,association;,1,0
P09613,Q9UI10,gp_uuks,ei2bd_human,GP,EIF2B4,Uuk,human,association;,1,0
Q3SBS4,Q12906,q3sbs4_9infa,ilf3_human,NS,ILF3,h9n2),human,physical association;,1,0
Q8AZK7,P23497,ebna5_ebvb9,sp100_human,EBNA-LP,SP100,ebvb9,human,association;physical association;,2,0
Q14978,P04591,nolc1_human,p04591-pro_0000038593,NOLC1,gag,human,hv1h2,physical association;,1,0
C5E526,Q5JTW2,c5e526_9infa,cep78_human,PB1,CEP78,A/New York/1682/2009(H1N1),human,association;,1,0
P24830,P04792,ve2_hpv39,hspb1_human,E2,HSPB1,Human papillomavirus type 39,human,physical association;,1,0
P0C739,O14980,bnl2a_ebvb9,xpo1_human,bnl2a_ebvb9,XPO1,ebvb9,human,association;,1,0
P03225,Q9UJV3,bdlf2_ebvb9,trim1_human,bdlf2_ebvb9,MID2,ebvb9,human,physical association;,1,0
Q69117,P60468,q69117_ebvg,sc61b_human,BFRF1A,SEC61B,ebvg,human,association;,1,0
A0A142I5B9,P82650,A0A142I5B9,rt22_human,A0A142I5B9,MRPS22,ZIKVK,human,association;,1,0
P06428,P42704,ve6_hpv08,lpprc_human,E6,LRPPRC,hpv08,human,association;,1,1
P09613,Q9UL33,gp_uuks,tpc2l_human,GP,TRAPPC2L,Uuk,human,association;,1,0
O15379,P12504,hdac3_human,vif_hv1n5,HDAC3,vif,human,hv1n5,physical association;,1,0
Q9WMB5,P30153,ncap_measc,2aaa_human,N,PPP2R1A,measc,human,association;,1,0
P06460,P53618,P06460,copb_human,P06460,COPB1,hpv6b,human,association;,1,0
Q9E7P0,P13797,Q9E7P0,plst_human,Q9E7P0,PLS3,dengue virus 2,human,physical association;,1,0
Q08334,Q9J4B7,i10r2_human,q9j4b7_hcmv,IL10RB,UL111A,human,hhv-5,physical association;,1,0
P09613,Q5W0Q7,gp_uuks,uspl1_human,GP,USPL1,Uuk,human,association;,1,0
O56264,P22626,ns1_i97a1,roa2_human,NS,HNRNPA2B1,i97a1,human,association;,1,0
P29991,P49327,P29991,fas_human,P29991,FASN,den27,human,physical association;,1,0
Q2PJP1,Q96HA1,q2pjp1_9infa,p121a_human,NS2,POM121,h5n1)-1,human,physical association;,1,0
Q6PKC3,Q9WMX2,txd11_human,Q9WMX2,TXNDC11,Q9WMX2,human,hcvco,physical association;,1,0
Q2MG95,Q9BRK5,q2mg95_ebvb9,cab45_human,BVLF1,SDF4,ebvb9,human,association;,1,0
P0C739,Q96AQ6,bnl2a_ebvb9,pbip1_human,bnl2a_ebvb9,PBXIP1,ebvb9,human,association;,1,0
P10225,Q15056,shut_hhv11,if4h_human,UL41,EIF4H,hhv11,human,association;,1,5
P69901,P27824,P69901,calx_human,P69901,CANX,hpv11,human,association;,1,0
Q99IB8,O60762,Q99IB8,dpm1_human,Q99IB8,DPM1,hcvjf,human,association;,1,0
P04487,O95793,rnb_hhv11,stau1_human,US11,STAU1,hhv11,human,association;,1,0
P06821,P40938,m2_i34a1,rfc3_human,M,RFC3,i34a1,human,association;,2,0
I6T1Z2,P40938,i6t1z2_i68a0,rfc3_human,NS1,RFC3,i68a0,human,association;,1,0
P03428,Q9Y312,pb2_i34a1,aar2_human,PB2,AAR2,i34a1,human,association;,1,0
A8E1C4,Q5VTE0,ltp_muhvk,ef1a3_human,M48,EEF1A1P5,muhvk,human,association;,1,0
P06792,Q6UW68,ve5_hpv18,tm205_human,E5,TMEM205,hpv18,human,association;,1,1
P06932,Q6P1W5,ve7_hpv05,ca094_human,E7,C1orf94,hpv05,human,physical association;,1,0
P03126,P01106,ve6_hpv16,myc_human,E6,MYC,hpv16,human,physical association;,2,1
O56264,P31946,ns1_i97a1,1433b_human,NS,YWHAB,i97a1,human,association;,1,0
Q8AZK7,P30050,ebna5_ebvb9,rl12_human,EBNA-LP,RPL12,ebvb9,human,association;,1,1
P0C739,Q9Y5S1,bnl2a_ebvb9,trpv2_human,bnl2a_ebvb9,TRPV2,ebvb9,human,association;,1,0
P0C1C6,P20671,w_hendh,h2a1d_human,P/V/C,H2AC7,hendh,human,association;,1,0
Q0A442,Q12959,ns1_i49a1,dlg1_human,NS,DLG1,Influenza A virus (strain A/Duck/Germany/1949 H10N7),human,physical association;,1,0
P35256,P62736,vp24_mabvm,acta_human,VP24,ACTA2,mabvm,human,association;,1,0
P19712,Q02543,P19712,rl18a_human,P19712,RPL18A,CSFV,human,association;,1,1
O56264,Q99880,ns1_i97a1,h2b1l_human,NS,H2BC13,i97a1,human,association;,1,0
P06792,Q96G23,ve5_hpv18,cers2_human,E5,CERS2,hpv18,human,association;,1,0
Q77M19,P52292,q77m19_measw,ima1_human,P,KPNA2,measw,human,association;,2,0
Q20MH8,Q13438,q20mh8_i33a0,os9_human,M2,OS9,i33a0,human,association;,2,0
Q96L50,Q86500,llr1_human,Q86500,LRR1,Q86500,human,rubvm,physical association;,1,0
P04578,P07384,env_hv1h2,can1_human,env,CAPN1,hv1h2,human,association;,1,0
P69901,Q9BSJ8,P69901,esyt1_human,P69901,ESYT1,hpv11,human,association;,1,0
A0A142I5B9,Q9BXP5,A0A142I5B9,srrt_human,A0A142I5B9,SRRT,ZIKVK,human,association;,1,0
P06461,Q9ULG6,P06461,ccpg1_human,P06461,CCPG1,hpv6b,human,association;,1,0
P0CK58,O00264,balf1_ebvb9,pgrc1_human,balf1_ebvb9,PGRMC1,ebvb9,human,association;,1,0
P0DTD1,P61962,p0dtd1-pro_0000449627,dcaf7_human,rep,DCAF7,SARS-CoV-2,human,association;,1,0
P06927,O15427,ve5_hpv16,mot4_human,E5,SLC16A3,hpv16,human,association;,1,1
P03120,Q14790,ve2_hpv16,casp8_human,E2,CASP8,hpv16,human,physical association;,1,0
P09613,O43592,gp_uuks,xpot_human,GP,XPOT,Uuk,human,association;,1,0
Q03001,P29991,dyst_human,P29991,DST,P29991,human,den27,physical association;,2,0
Q12959,P06463,dlg1_human,ve6_hpv18,DLG1,E6,human,hpv18,physical association;direct interaction;,2,2
P06792,Q96AA3,ve5_hpv18,rft1_human,E5,RFT1,hpv18,human,association;,1,1
P88983,Q96KR1,p88983_mhv68,zfr_human,BJLF1,ZFR,mhv68,human,physical association;,1,1
Q98143,Q9NWU2,q98143_hhv8,gid8_human,ORF21,GID8,hhv8,human,association;,1,0
Q99IB8,Q96P70,Q99IB8,ipo9_human,Q99IB8,IPO9,hcvjf,human,association;,1,0
P06423,P02538,ve2_hpv33,k2c6a_human,E2,KRT6A,hpv33,human,physical association;,1,1
P06428,Q9Y4B5,ve6_hpv08,mtcl1_human,E6,MTCL1,hpv08,human,association;,1,1
P0DTD1,P46109,p0dtd1-pro_0000449631,crkl_human,rep,CRKL,SARS-CoV-2,human,association;,1,0
A0A142I5B9,Q9Y2Q9,A0A142I5B9,rt28_human,A0A142I5B9,MRPS28,ZIKVK,human,association;,1,0
A0A663DJA2,Q15369,a0a663dja2_sars2,eloc_human,ORF10,ELOC,SARS-CoV-2,human,association;,1,0
P0DTC5,Q9NTJ3,vme1_sars2,smc4_human,vme1_sars2,SMC4,SARS-CoV-2,human,association;,1,0
D1LN35,Q15717,d1ln35_9infa,elav1_human,NS1,ELAVL1,h5n1-china,human,association;,1,0
A0A142I5B9,Q13206,A0A142I5B9,ddx10_human,A0A142I5B9,DDX10,ZIKVK,human,association;,1,0
Q8V1H6,Q66K89,q8v1h6_hbv,e4f1_human,X,E4F1,hbv,human,physical association;direct interaction;,4,0
I6TAH8,O75616,i6tah8_i68a0,eral1_human,NP,ERAL1,i68a0,human,association;,2,0
Q1K9H5,Q96D09,q1k9h5_i33a0,gasp2_human,PB1,GPRASP2,i33a0,human,association;,4,0
A0A142I5B9,Q9BW27,A0A142I5B9,nup85_human,A0A142I5B9,NUP85,ZIKVK,human,association;,1,0
P06463,Q9BS26,ve6_hpv18,erp44_human,E6,ERP44,hpv18,human,association;,1,0
O56264,Q15366,ns1_i97a1,pcbp2_human,NS,PCBP2,i97a1,human,association;,1,0
P20671,P08563,h2a1d_human,p08563-pro_0000041302,H2AC7,p110,human,rubvm,physical association;,1,0
Q9Q2G4,O15371,q9q2g4_9hiv1,eif3d_human,ORF,EIF3D,9hiv1,human,association;physical association;,5,0
Q8AZJ3,Q06033,bnl2b_ebvb9,itih3_human,bnl2b_ebvb9,ITIH3,ebvb9,human,association;,1,0
P04578,Q12805,p04578-pro_0000038427,fbln3_human,env,EFEMP1,hv1h2,human,association;,1,0
P03427,Q96CG3,pb2_i33a0,tifa_human,PB2,TIFA,i33a0,human,association;,1,0
Q9UPY3,P27958,dicer_human,P27958,DICER1,P27958,human,hcvh,physical association;,1,0
Q99IB8,Q9NTJ5,Q99IB8,sac1_human,Q99IB8,SACM1L,hcvjf,human,association;,1,1
P0DTD1,P31323,p0dtd1-pro_0000449630,kap3_human,rep,PRKAR2B,SARS-CoV-2,human,association;,1,0
P21605,Q9BVA1,e3_vaccw,tbb2b_human,p25,TUBB2B,vaccw,human,association;,1,0
Q13547,P03129,hdac1_human,ve7_hpv16,HDAC1,E7,human,hpv16,physical association;,2,3
D0UZU1,P27694,d0uzu1_hhv8,rfa1_human,ORF73,RPA1,hhv8,human,association;,1,0
O00767,A0A142I5B9,acod_human,A0A142I5B9,SCD,A0A142I5B9,human,ZIKVK,physical association;,1,0
P0DTD8,P05023,ns7b_sars2,at1a1_human,ns7b_sars2,ATP1A1,SARS-CoV-2,human,association;,1,0
Q8JPQ9,Q9BUF5,nss_bunl8,tbb6_human,N,TUBB6,bunl8,human,association;,1,0
P0DOE9,Q9Y265,ns1_hrsva,ruvb1_human,1C,RUVBL1,hrsva,human,association;,1,0
P03495,O14503,ns1_i72a2,bhe40_human,NS,BHLHE40,i72a2,human,physical association;,1,0
P12792,P14649,nss_sfsv,myl6b_human,NSS,MYL6B,sfsv,human,association;,1,0
P0DOE9,O60488,ns1_hrsva,acsl4_human,1C,ACSL4,hrsva,human,association;,1,0
P0DTD1,P82675,p0dtd1-pro_0000449626,rt05_human,rep,MRPS5,SARS-CoV-2,human,association;,1,0
